"","X","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","species","genotype","chamber.channel","run","temp.Cat","start.time","stop.time","light_dark","treatment","surf.area.cm2","volume","block","umol.sec","BLANK","blank.rate","umol.sec.corr","umol.cm2.hr","Rate.ln"
"28",28,"PV32_D_24_O2",202.714762016807,-0.0138678991596639,24.0197959183673,"PV32_D","P. verrucosa","32",5,"D1",24,2021-03-21 05:53:00,2021-03-21 06:14:00,"dark","control",85.83,0.6,8,-0.00832073949579834,"0",-0.000733497629877419,-0.00758724186592092,0.318234541737333,NA
"29",29,"PV6_D_24_O2",202.584326065372,-0.0132227042861549,24.0782653061225,"PV6_D","P. verrucosa","6",9,"D1",24,2021-03-21 05:53:00,2021-03-21 06:14:00,"dark","enriched",88.69,0.62,2,-0.00819807665741604,"0",-0.000733497629877419,-0.00746457902753862,0.302993398344109,NA
"30",30,"PV8_D_24_O2",171.802675134041,-0.0115521446547762,24.1648775510204,"PV8_D","P. verrucosa","8",6,"D1",24,2021-03-21 05:53:00,2021-03-21 06:14:00,"dark","enriched",89.16,0.61,2,-0.00704680823941348,"0",-0.000733497629877419,-0.00631331060953606,0.25491159930832,NA
"33",33,"PV11_D_28_O2",184.25182608885,-0.0153757404181185,28.1515510204082,"PV11_D","P. verrucosa","11",10,"D1",28,2021-03-21 06:50:00,2021-03-21 07:11:00,"dark","enriched",85.88,0.61,3,-0.00937920165505229,"0",-0.00110673940652832,-0.00827246224852396,0.34677298666379,NA
"34",34,"PV21_D_28_O2",158.1589970964,-0.0175487804878049,28.1482448979592,"PV21_D","P. verrucosa","21",3,"D1",28,2021-03-21 06:50:00,2021-03-21 07:11:00,"dark","control",104.12,0.62,6,-0.010880243902439,"0",-0.00110673940652832,-0.00977350449591072,0.337923705198603,NA
"35",35,"PV29_D_28_O2",195.458347342375,-0.0106263013196481,28.2459795918367,"PV29_D","P. verrucosa","29",4,"D1",28,2021-03-21 06:50:00,2021-03-21 07:11:00,"dark","control",105.04,0.6,8,-0.00637578079178886,"0",-0.00110673940652832,-0.00526904138526054,0.180584053569478,NA
"36",36,"PV3_D_28_O2",180.663245443373,-0.0217072644032089,28.0580204081633,"PV3_D","P. verrucosa","3",2,"D1",28,2021-03-21 06:50:00,2021-03-21 07:11:00,"dark","enriched",50.86,0.59,1,-0.0128072859978933,"0",-0.00110673940652832,-0.0117005465913649,0.828194410713994,NA
"37",37,"PV30_D_28_O2",186.550535070472,-0.0142199189570119,28.124693877551,"PV30_D","P. verrucosa","30",1,"D1",28,2021-03-21 06:50:00,2021-03-21 07:11:00,"dark","control",77.26,0.62,8,-0.00881634975334738,"0",-0.00110673940652832,-0.00770961034681906,0.35923630919685,NA
"38",38,"PV32_D_28_O2",190.023387535014,-0.0153102240896358,27.91,"PV32_D","P. verrucosa","32",5,"D1",28,2021-03-21 06:50:00,2021-03-21 07:11:00,"dark","control",85.83,0.6,8,-0.00918613445378148,"0",-0.00110673940652832,-0.00807939504725316,0.338877107888983,NA
"39",39,"PV6_D_28_O2",182.968805933673,-0.0157496071428571,27.7887755102041,"PV6_D","P. verrucosa","6",9,"D1",28,2021-03-21 06:50:00,2021-03-21 07:11:00,"dark","enriched",88.69,0.62,2,-0.0097647564285714,"0",-0.00110673940652832,-0.00865801702204308,0.351436027504286,NA
"40",40,"PV8_D_28_O2",155.929742917438,-0.0137527462997225,28.1324897959184,"PV8_D","P. verrucosa","8",6,"D1",28,2021-03-21 06:50:00,2021-03-21 07:11:00,"dark","enriched",89.16,0.61,2,-0.00838917524283072,"0",-0.00110673940652832,-0.00728243583630241,0.294041823807634,NA
"43",43,"PV11_D_30_O2",173.085442619048,-0.0162045238095237,30.0843265306122,"PV11_D","P. verrucosa","11",10,"D1",30,2021-03-21 07:33:00,2021-03-21 07:53:00,"dark","enriched",85.88,0.61,3,-0.00988475952380946,"0",-0.00129718027672497,-0.00858757924708448,0.35998236247676,NA
"44",44,"PV21_D_30_O2",147.200090145315,-0.0191577789482214,30.0248775510204,"PV21_D","P. verrucosa","21",3,"D1",30,2021-03-21 07:33:00,2021-03-21 07:53:00,"dark","control",104.12,0.62,6,-0.0118778229478973,"0",-0.00129718027672497,-0.0105806426711723,0.365830902960241,NA
"45",45,"PV29_D_30_O2",177.107782195208,-0.016527015503876,30.0482448979592,"PV29_D","P. verrucosa","29",4,"D1",30,2021-03-21 07:33:00,2021-03-21 07:53:00,"dark","control",105.04,0.6,8,-0.0099162093023256,"0",-0.00129718027672497,-0.00861902902560063,0.295397034388445,NA
"46",46,"PV3_D_30_O2",171.199835367746,-0.0238008198380567,30.0826326530612,"PV3_D","P. verrucosa","3",2,"D1",30,2021-03-21 07:33:00,2021-03-21 07:53:00,"dark","enriched",50.86,0.59,1,-0.0140424837044535,"0",-0.00129718027672497,-0.0127453034277285,0.902144953594623,NA
"47",47,"PV30_D_30_O2",177.560711184669,-0.0163237282229965,30.064306122449,"PV30_D","P. verrucosa","30",1,"D1",30,2021-03-21 07:33:00,2021-03-21 07:53:00,"dark","control",77.26,0.62,8,-0.0101207114982578,"0",-0.00129718027672497,-0.00882353122153286,0.411140465926978,NA
"48",48,"PV32_D_30_O2",179.414063083624,-0.0169428745644599,29.797,"PV32_D","P. verrucosa","32",5,"D1",30,2021-03-21 07:33:00,2021-03-21 07:53:00,"dark","control",85.83,0.6,8,-0.0101657247386759,"0",-0.00129718027672497,-0.00886854446195097,0.371976698858482,NA
"49",49,"PV6_D_30_O2",174.32152503003,-0.0184904954954955,29.8416326530612,"PV6_D","P. verrucosa","6",9,"D1",30,2021-03-21 07:33:00,2021-03-21 07:53:00,"dark","enriched",88.69,0.62,2,-0.0114641072072072,"0",-0.00129718027672497,-0.0101669269304822,0.412683920957673,NA
"50",50,"PV8_D_30_O2",149.439431450535,-0.0153585895721926,29.9758163265306,"PV8_D","P. verrucosa","8",6,"D1",30,2021-03-21 07:33:00,2021-03-21 07:53:00,"dark","enriched",89.16,0.61,2,-0.00936873963903749,"0",-0.00129718027672497,-0.00807155936231251,0.32590414652675,NA
"53",53,"PV11_D_32_O2",164.956821576655,-0.0178606010452962,31.9288163265306,"PV11_D","P. verrucosa","11",10,"D1",32,2021-03-21 08:15:00,2021-03-21 08:35:00,"dark","enriched",85.88,0.61,3,-0.0108949666376307,"0",-0.00154701666600156,-0.00934794997162912,0.391856309942534,NA
"54",54,"PV21_D_32_O2",136.7508196567,-0.0211541244631716,31.9399183673469,"PV21_D","P. verrucosa","21",3,"D1",32,2021-03-21 08:15:00,2021-03-21 08:35:00,"dark","control",104.12,0.62,6,-0.0131155571671664,"0",-0.00154701666600156,-0.0115685405011648,0.399987954323794,NA
"55",55,"PV29_D_32_O2",163.68053050662,-0.0177450815187657,31.899612244898,"PV29_D","P. verrucosa","29",4,"D1",32,2021-03-21 08:15:00,2021-03-21 08:35:00,"dark","control",105.04,0.6,8,-0.0106470489112594,"0",-0.00154701666600156,-0.00910003224525786,0.311882293249508,NA
"56",56,"PV3_D_32_O2",160.767748409344,-0.0248084760845384,31.8390816326531,"PV3_D","P. verrucosa","3",2,"D1",32,2021-03-21 08:15:00,2021-03-21 08:35:00,"dark","enriched",50.86,0.59,1,-0.0146370008898777,"0",-0.00154701666600156,-0.0130899842238761,0.926542335940895,NA
"57",57,"PV30_D_32_O2",163.024454966809,-0.016960182550972,31.917612244898,"PV30_D","P. verrucosa","30",1,"D1",32,2021-03-21 08:15:00,2021-03-21 08:35:00,"dark","control",77.26,0.62,8,-0.0105153131816026,"0",-0.00154701666600156,-0.00896829651560108,0.417885936528137,NA
"58",58,"PV32_D_32_O2",167.975649940675,-0.0188476418242491,31.7595510204082,"PV32_D","P. verrucosa","32",5,"D1",32,2021-03-21 08:15:00,2021-03-21 08:35:00,"dark","control",85.83,0.6,8,-0.0113085850945495,"0",-0.00154701666600156,-0.0097615684285479,0.409433139261009,NA
"59",59,"PV6_D_32_O2",166.143555199485,-0.0211261132561133,31.7681428571429,"PV6_D","P. verrucosa","6",9,"D1",32,2021-03-21 08:15:00,2021-03-21 08:35:00,"dark","enriched",88.69,0.62,2,-0.0130981902187902,"0",-0.00154701666600156,-0.0115511735527887,0.468871629158183,NA
"60",60,"PV8_D_32_O2",137.825235940803,-0.017820658411356,31.9535510204082,"PV8_D","P. verrucosa","8",6,"D1",32,2021-03-21 08:15:00,2021-03-21 08:35:00,"dark","enriched",89.16,0.61,2,-0.0108706016309272,"0",-0.00154701666600156,-0.0093235849649256,0.376456997237911,NA
"63",63,"PV11_D_34_O2",150.352572378049,-0.0218026916376307,33.8838367346939,"PV11_D","P. verrucosa","11",10,"D1",34,2021-03-21 08:55:00,2021-03-21 09:15:00,"dark","enriched",85.88,0.61,3,-0.0132996418989547,"0",-0.00168057749196142,-0.0116190644069933,0.487059057582393,NA
"64",64,"PV21_D_34_O2",124.858534030504,-0.0258517592872244,33.817387755102,"PV21_D","P. verrucosa","21",3,"D1",34,2021-03-21 08:55:00,2021-03-21 09:15:00,"dark","control",104.12,0.62,6,-0.0160280907580791,"0",-0.00168057749196142,-0.0143475132661177,0.49607229886692,NA
"65",65,"PV29_D_34_O2",157.260904912118,-0.0216324483502929,33.9454285714286,"PV29_D","P. verrucosa","29",4,"D1",34,2021-03-21 08:55:00,2021-03-21 09:15:00,"dark","control",105.04,0.6,8,-0.0129794690101757,"0",-0.00168057749196142,-0.0112988915182143,0.387243045178709,NA
"66",66,"PV3_D_34_O2",153.225163431994,-0.0301755532064834,33.853387755102,"PV3_D","P. verrucosa","3",2,"D1",34,2021-03-21 08:55:00,2021-03-21 09:15:00,"dark","enriched",50.86,0.59,1,-0.0178035763918252,"0",-0.00168057749196142,-0.0161229988998638,1.14122681949488,NA
"67",67,"PV30_D_34_O2",157.639123404255,-0.0197404255319149,33.922693877551,"PV30_D","P. verrucosa","30",1,"D1",34,2021-03-21 08:55:00,2021-03-21 09:15:00,"dark","control",77.26,0.62,8,-0.0122390638297872,"0",-0.00168057749196142,-0.0105584863378258,0.491982278231594,NA
"68",68,"PV32_D_34_O2",159.239035799859,-0.0215661028893587,33.7732040816326,"PV32_D","P. verrucosa","32",5,"D1",34,2021-03-21 08:55:00,2021-03-21 09:15:00,"dark","control",85.83,0.6,8,-0.0129396617336152,"0",-0.00168057749196142,-0.0112590842416538,0.472244008737664,NA
"69",69,"PV6_D_34_O2",154.382152930036,-0.024144685828877,33.6728367346939,"PV6_D","P. verrucosa","6",9,"D1",34,2021-03-21 08:55:00,2021-03-21 09:15:00,"dark","enriched",88.69,0.62,2,-0.0149697052139037,"0",-0.00168057749196142,-0.0132891277219423,0.539416617420142,NA
"70",70,"PV8_D_34_O2",132.723002926829,-0.0213687804878049,33.9307551020408,"PV8_D","P. verrucosa","8",6,"D1",34,2021-03-21 08:55:00,2021-03-21 09:15:00,"dark","enriched",89.16,0.61,2,-0.013034956097561,"0",-0.00168057749196142,-0.0113543786055996,0.458454048678314,NA
"73",73,"PV11_D_36_O2",145.596283305448,-0.0183625418275418,35.9318775510204,"PV11_D","P. verrucosa","11",10,"D1",36,2021-03-21 09:36:00,2021-03-21 09:56:00,"dark","enriched",85.88,0.61,3,-0.0112011505148005,"0",-0.00148824148670222,-0.00971290902809828,0.407155012822005,NA
"74",74,"PV21_D_36_O2",125.752488536585,-0.0236690243902439,36.0610204081633,"PV21_D","P. verrucosa","21",3,"D1",36,2021-03-21 09:36:00,2021-03-21 09:56:00,"dark","control",104.12,0.62,6,-0.0146747951219512,"0",-0.00148824148670222,-0.013186553635249,0.455931550969039,NA
"75",75,"PV29_D_36_O2",146.474649595142,-0.0208196356275303,35.9297755102041,"PV29_D","P. verrucosa","29",4,"D1",36,2021-03-21 09:36:00,2021-03-21 09:56:00,"dark","control",105.04,0.6,8,-0.0124917813765182,"0",-0.00148824148670222,-0.011003539889816,0.377120559818521,NA
"76",76,"PV3_D_36_O2",140.213518963585,-0.027413081232493,35.7964285714286,"PV3_D","P. verrucosa","3",2,"D1",36,2021-03-21 09:36:00,2021-03-21 09:56:00,"dark","enriched",50.86,0.59,1,-0.0161737179271709,"0",-0.00148824148670222,-0.0146854764404686,1.03947532807092,NA
"77",77,"PV30_D_36_O2",148.208306238192,-0.0192850506072875,35.9397959183673,"PV30_D","P. verrucosa","30",1,"D1",36,2021-03-21 09:36:00,2021-03-21 09:56:00,"dark","control",77.26,0.62,8,-0.0119567313765182,"0",-0.00148824148670222,-0.010468489889816,0.487788811847498,NA
"78",78,"PV32_D_36_O2",148.776930670732,-0.0217352003484321,35.676612244898,"PV32_D","P. verrucosa","32",5,"D1",36,2021-03-21 09:36:00,2021-03-21 09:56:00,"dark","control",85.83,0.6,8,-0.0130411202090593,"0",-0.00148824148670222,-0.011552878722357,0.484566741238324,NA
"79",79,"PV6_D_36_O2",146.96274692389,-0.0235014693446089,35.7440816326531,"PV6_D","P. verrucosa","6",9,"D1",36,2021-03-21 09:36:00,2021-03-21 09:56:00,"dark","enriched",88.69,0.62,2,-0.0145709109936575,"0",-0.00148824148670222,-0.0130826695069553,0.531036308772568,NA
"80",80,"PV8_D_36_O2",126.194064298246,-0.0215284008097165,35.9214285714286,"PV8_D","P. verrucosa","8",6,"D1",36,2021-03-21 09:36:00,2021-03-21 09:56:00,"dark","enriched",89.16,0.61,2,-0.0131323244939271,"0",-0.00148824148670222,-0.0116440830072248,0.470151400022537,NA
"83",83,"PV11_D_37_O2",139.31893365094,-0.0166120968239284,36.7851020408163,"PV11_D","P. verrucosa","11",10,"D1",37,2021-03-21 10:14:00,2021-03-21 10:34:00,"dark","enriched",85.88,0.61,3,-0.0101333790625963,"0",-0.00150148010176844,-0.00863189896082788,0.361840198637405,NA
"84",84,"PV21_D_37_O2",114.220652730769,-0.021359653846154,36.8616734693878,"PV21_D","P. verrucosa","21",3,"D1",37,2021-03-21 10:14:00,2021-03-21 10:34:00,"dark","control",104.12,0.62,6,-0.0132429853846155,"0",-0.00150148010176844,-0.011741505282847,0.405968296371968,NA
"85",85,"PV29_D_37_O2",140.59815022409,-0.0203737535014005,36.8572040816327,"PV29_D","P. verrucosa","29",4,"D1",37,2021-03-21 10:14:00,2021-03-21 10:34:00,"dark","control",105.04,0.6,8,-0.0122242521008403,"0",-0.00150148010176844,-0.0107227719990719,0.367497897911831,NA
"86",86,"PV3_D_37_O2",141.341717612943,-0.0246046703296702,36.8717142857143,"PV3_D","P. verrucosa","3",2,"D1",37,2021-03-21 10:14:00,2021-03-21 10:34:00,"dark","enriched",50.86,0.59,1,-0.0145167554945054,"0",-0.00150148010176844,-0.013015275392737,0.921254255089522,NA
"87",87,"PV30_D_37_O2",141.545892817139,-0.0186855971659919,36.9401224489796,"PV30_D","P. verrucosa","30",1,"D1",37,2021-03-21 10:14:00,2021-03-21 10:34:00,"dark","control",77.26,0.62,8,-0.011585070242915,"0",-0.00150148010176844,-0.0100835901411465,0.469854057832352,NA
"88",88,"PV32_D_37_O2",143.200597466422,-0.0208532661782661,36.6340612244898,"PV32_D","P. verrucosa","32",5,"D1",37,2021-03-21 10:14:00,2021-03-21 10:34:00,"dark","control",85.83,0.6,8,-0.0125119597069597,"0",-0.00150148010176844,-0.0110104796051912,0.461816690885336,NA
"89",89,"PV6_D_37_O2",143.416718991936,-0.0213036693548387,36.7548775510204,"PV6_D","P. verrucosa","6",9,"D1",37,2021-03-21 10:14:00,2021-03-21 10:34:00,"dark","enriched",88.69,0.62,2,-0.013208275,"0",-0.00150148010176844,-0.0117067948982316,0.475188427484875,NA
"90",90,"PV8_D_37_O2",110.979649630542,-0.0201061165845649,36.6736326530612,"PV8_D","P. verrucosa","8",6,"D1",37,2021-03-21 10:14:00,2021-03-21 10:34:00,"dark","enriched",89.16,0.61,2,-0.0122647311165846,"0",-0.00150148010176844,-0.0107632510148161,0.434586178256372,NA
"93",93,"PV11_D_38_O2",127.17621471257,-0.0169971235521235,38.0915918367347,"PV11_D","P. verrucosa","11",10,"D1",38,2021-03-21 10:50:00,2021-03-21 11:10:00,"dark","enriched",85.88,0.61,3,-0.0103682453667953,"0",-0.00178515328924344,-0.00858309207755189,0.359794265011491,NA
"94",94,"PV21_D_38_O2",106.842900866935,-0.0194819153225806,38.0779795918367,"PV21_D","P. verrucosa","21",3,"D1",38,2021-03-21 10:50:00,2021-03-21 11:10:00,"dark","control",104.12,0.62,6,-0.0120787875,"0",-0.00178515328924344,-0.0102936342107565,0.355907444859043,NA
"95",95,"PV29_D_38_O2",131.798208201058,-0.0173246031746031,38.0641836734694,"PV29_D","P. verrucosa","29",4,"D1",38,2021-03-21 10:50:00,2021-03-21 11:10:00,"dark","control",105.04,0.6,8,-0.0103947619047619,"0",-0.00178515328924344,-0.00860960861551842,0.295074171895148,NA
"96",96,"PV3_D_38_O2",132.936700852273,-0.0223265854105572,38.1017551020408,"PV3_D","P. verrucosa","3",2,"D1",38,2021-03-21 10:50:00,2021-03-21 11:10:00,"dark","enriched",50.86,0.59,1,-0.0131726853922287,"0",-0.00178515328924344,-0.0113875321029853,0.806038450073675,NA
"97",97,"PV30_D_38_O2",134.37211250573,-0.017659640947288,38.2048163265306,"PV30_D","P. verrucosa","30",1,"D1",38,2021-03-21 10:50:00,2021-03-21 11:10:00,"dark","control",77.26,0.62,8,-0.0109489773873186,"0",-0.00178515328924344,-0.00916382409807512,0.426996722146912,NA
"98",98,"PV32_D_38_O2",134.613608074866,-0.0180999006875477,37.9142448979592,"PV32_D","P. verrucosa","32",5,"D1",38,2021-03-21 10:50:00,2021-03-21 11:10:00,"dark","control",85.83,0.6,8,-0.0108599404125286,"0",-0.00178515328924344,-0.00907478712328518,0.380627212441182,NA
"99",99,"PV6_D_38_O2",135.224345607553,-0.0182807471264367,37.9127142857143,"PV6_D","P. verrucosa","6",9,"D1",38,2021-03-21 10:50:00,2021-03-21 11:10:00,"dark","enriched",88.69,0.62,2,-0.0113340632183908,"0",-0.00178515328924344,-0.00954890992914731,0.387598102885673,NA
"100",100,"PV8_D_38_O2",114.475944312611,-0.0178255514705883,38.2564081632653,"PV8_D","P. verrucosa","8",6,"D1",38,2021-03-21 10:50:00,2021-03-21 11:10:00,"dark","enriched",89.16,0.61,2,-0.0108735863970589,"0",-0.00178515328924344,-0.00908843310781542,0.366962305833732,NA
"103",103,"PV11_D_39_O2",114.994030846154,-0.0167662307692308,39.0563673469388,"PV11_D","P. verrucosa","11",10,"D1",39,2021-03-21 11:30:00,2021-03-21 11:50:00,"dark","enriched",85.88,0.61,3,-0.0102274007692308,"0",-0.00188759182401491,-0.00833980894521588,0.349596089925212,NA
"104",104,"PV21_D_39_O2",95.9505608577469,-0.0184068257324071,38.9345306122449,"PV21_D","P. verrucosa","21",3,"D1",39,2021-03-21 11:30:00,2021-03-21 11:50:00,"dark","control",104.12,0.62,6,-0.0114122319540924,"0",-0.00188759182401491,-0.00952464013007749,0.329319097851316,NA
"105",105,"PV29_D_39_O2",122.633567762097,-0.0162778427419354,39.0065102040816,"PV29_D","P. verrucosa","29",4,"D1",39,2021-03-21 11:30:00,2021-03-21 11:50:00,"dark","control",105.04,0.6,8,-0.00976670564516124,"0",-0.00188759182401491,-0.00787911382114633,0.27003817361126,NA
"106",106,"PV3_D_39_O2",118.435871363636,-0.0209592424242424,38.9307142857143,"PV3_D","P. verrucosa","3",2,"D1",39,2021-03-21 11:30:00,2021-03-21 11:50:00,"dark","enriched",50.86,0.59,1,-0.012365953030303,"0",-0.00188759182401491,-0.0104783612062881,0.741685024432505,NA
"107",107,"PV30_D_39_O2",119.808216190476,-0.0176923809523809,38.9984285714286,"PV30_D","P. verrucosa","30",1,"D1",39,2021-03-21 11:30:00,2021-03-21 11:50:00,"dark","control",77.26,0.62,8,-0.0109692761904762,"0",-0.00188759182401491,-0.00908168436646125,0.423169346612225,NA
"108",108,"PV32_D_39_O2",121.114074165103,-0.0172509005628518,38.7342244897959,"PV32_D","P. verrucosa","32",5,"D1",39,2021-03-21 11:30:00,2021-03-21 11:50:00,"dark","control",85.83,0.6,8,-0.0103505403377111,"0",-0.00188759182401491,-0.00846294851369617,0.35496463531756,NA
"109",109,"PV6_D_39_O2",121.093613452991,-0.0188001196581197,38.7416530612245,"PV6_D","P. verrucosa","6",9,"D1",39,2021-03-21 11:30:00,2021-03-21 11:50:00,"dark","enriched",88.69,0.62,2,-0.0116560741880342,"0",-0.00188759182401491,-0.00976848236401931,0.396510728497796,NA
"110",110,"PV8_D_39_O2",103.4354371237,-0.0166544198139025,39.0943469387755,"PV8_D","P. verrucosa","8",6,"D1",39,2021-03-21 11:30:00,2021-03-21 11:50:00,"dark","enriched",89.16,0.61,2,-0.0101591960864805,"0",-0.00188759182401491,-0.00827160426246562,0.333981329574655,NA
"113",113,"PV1_D_20_O2",222.554077797534,-0.0110251659554291,20.071,"PV1_D","P. verrucosa","1",8,"D2",20,2021-03-21 03:58:00,2021-03-21 04:18:00,"dark","enriched",72.49,0.59,1,-0.00650484791370317,"0",-0.000109881346371702,-0.00639496656733147,0.317586972580953,NA
