"","X","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","species","genotype","chamber.channel","run","temp.Cat","start.time","stop.time","light_dark","treatment","surf.area.cm2","volume","block","chl.ugcm2","chlA.ug.sample","umol.sec","BLANK","blank.rate","umol.sec.corr","umol.chl.ug.hr","Rate.ln"
"67",67,"PV30_D_34_O2",157.639123404255,-0.0197404255319149,33.922693877551,"PV30_D","P. verrucosa","30",1,"D1",34,2021-03-24 08:55:00,2021-03-24 09:15:00,"dark","control",77.26,0.62,8,0.893279254,0.37493667,-0.0122390638297872,"0",-0.00168057749196142,-0.0105584863378258,101.37858965935,NA
"68",68,"PV32_D_34_O2",159.239035799859,-0.0215661028893587,33.7732040816326,"PV32_D","P. verrucosa","32",5,"D1",34,2021-03-24 08:55:00,2021-03-24 09:15:00,"dark","control",85.83,0.6,8,0.427049174,0.752066667,-0.0129396617336152,"0",-0.00168057749196142,-0.0112590842416538,53.8950934119165,NA
"69",69,"PV6_D_34_O2",154.382152930036,-0.024144685828877,33.6728367346939,"PV6_D","P. verrucosa","6",9,"D1",34,2021-03-24 08:55:00,2021-03-24 09:15:00,"dark","enriched",88.69,0.62,2,0.559733783,0.456166667,-0.0149697052139037,"0",-0.00168057749196142,-0.0132891277219423,104.875834338401,NA
"70",70,"PV8_D_34_O2",132.723002926829,-0.0213687804878049,33.9307551020408,"PV8_D","P. verrucosa","8",6,"D1",34,2021-03-24 08:55:00,2021-03-24 09:15:00,"dark","enriched",89.16,0.61,2,0.344302262,0.417243333,-0.013034956097561,"0",-0.00168057749196142,-0.0113543786055996,97.9662459463635,NA
"73",73,"PV11_D_36_O2",145.596283305448,-0.0183625418275418,35.9318775510204,"PV11_D","P. verrucosa","11",10,"D1",36,2021-03-24 09:36:00,2021-03-24 09:56:00,"dark","enriched",85.88,0.61,3,1.48062872,1.495356667,-0.0112011505148005,"0",-0.00148824148670222,-0.00971290902809828,23.3833661712987,NA
"74",74,"PV21_D_36_O2",125.752488536585,-0.0236690243902439,36.0610204081633,"PV21_D","P. verrucosa","21",3,"D1",36,2021-03-24 09:36:00,2021-03-24 09:56:00,"dark","control",104.12,0.62,6,1.661026261,1.756996667,-0.0146747951219512,"0",-0.00148824148670222,-0.013186553635249,27.0186016732474,NA
"75",75,"PV29_D_36_O2",146.474649595142,-0.0208196356275303,35.9297755102041,"PV29_D","P. verrucosa","29",4,"D1",36,2021-03-24 09:36:00,2021-03-24 09:56:00,"dark","control",105.04,0.6,8,0.286292138,0.374936667,-0.0124917813765182,"0",-0.00148824148670222,-0.011003539889816,105.651826267868,NA
"76",76,"PV3_D_36_O2",140.213518963585,-0.027413081232493,35.7964285714286,"PV3_D","P. verrucosa","3",2,"D1",36,2021-03-24 09:36:00,2021-03-24 09:56:00,"dark","enriched",50.86,0.59,1,1.363743438,1.385563333,-0.0161737179271709,"0",-0.00148824148670222,-0.0146854764404686,38.1561159468754,NA
"77",77,"PV30_D_36_O2",148.208306238192,-0.0192850506072875,35.9397959183673,"PV30_D","P. verrucosa","30",1,"D1",36,2021-03-24 09:36:00,2021-03-24 09:56:00,"dark","control",77.26,0.62,8,0.893279254,0.37493667,-0.0119567313765182,"0",-0.00148824148670222,-0.010468489889816,100.514477827249,NA
"78",78,"PV32_D_36_O2",148.776930670732,-0.0217352003484321,35.676612244898,"PV32_D","P. verrucosa","32",5,"D1",36,2021-03-24 09:36:00,2021-03-24 09:56:00,"dark","control",85.83,0.6,8,0.427049174,0.752066667,-0.0130411202090593,"0",-0.00148824148670222,-0.011552878722357,55.3014316754519,NA
"79",79,"PV6_D_36_O2",146.96274692389,-0.0235014693446089,35.7440816326531,"PV6_D","P. verrucosa","6",9,"D1",36,2021-03-24 09:36:00,2021-03-24 09:56:00,"dark","enriched",88.69,0.62,2,0.559733783,0.456166667,-0.0145709109936575,"0",-0.00148824148670222,-0.0130826695069553,103.246496581564,NA
"80",80,"PV8_D_36_O2",126.194064298246,-0.0215284008097165,35.9214285714286,"PV8_D","P. verrucosa","8",6,"D1",36,2021-03-24 09:36:00,2021-03-24 09:56:00,"dark","enriched",89.16,0.61,2,0.344302262,0.417243333,-0.0131323244939271,"0",-0.00148824148670222,-0.0116440830072248,100.465832550545,NA
"83",83,"PV11_D_37_O2",139.31893365094,-0.0166120968239284,36.7851020408163,"PV11_D","P. verrucosa","11",10,"D1",37,2021-03-24 10:14:00,2021-03-24 10:34:00,"dark","enriched",85.88,0.61,3,1.48062872,1.495356667,-0.0101333790625963,"0",-0.00150148010176844,-0.00863189896082788,20.7808858881293,NA
"84",84,"PV21_D_37_O2",114.220652730769,-0.021359653846154,36.8616734693878,"PV21_D","P. verrucosa","21",3,"D1",37,2021-03-24 10:14:00,2021-03-24 10:34:00,"dark","control",104.12,0.62,6,1.661026261,1.756996667,-0.0132429853846155,"0",-0.00150148010176844,-0.011741505282847,24.0577684705701,NA
"85",85,"PV29_D_37_O2",140.59815022409,-0.0203737535014005,36.8572040816327,"PV29_D","P. verrucosa","29",4,"D1",37,2021-03-24 10:14:00,2021-03-24 10:34:00,"dark","control",105.04,0.6,8,0.286292138,0.374936667,-0.0122242521008403,"0",-0.00150148010176844,-0.0107227719990719,102.955999223887,NA
"86",86,"PV3_D_37_O2",141.341717612943,-0.0246046703296702,36.8717142857143,"PV3_D","P. verrucosa","3",2,"D1",37,2021-03-24 10:14:00,2021-03-24 10:34:00,"dark","enriched",50.86,0.59,1,1.363743438,1.385563333,-0.0145167554945054,"0",-0.00150148010176844,-0.013015275392737,33.8165642074285,NA
"87",87,"PV30_D_37_O2",141.545892817139,-0.0186855971659919,36.9401224489796,"PV30_D","P. verrucosa","30",1,"D1",37,2021-03-24 10:14:00,2021-03-24 10:34:00,"dark","control",77.26,0.62,8,0.893279254,0.37493667,-0.011585070242915,"0",-0.00150148010176844,-0.0100835901411465,96.8188161166725,NA
"88",88,"PV32_D_37_O2",143.200597466422,-0.0208532661782661,36.6340612244898,"PV32_D","P. verrucosa","32",5,"D1",37,2021-03-24 10:14:00,2021-03-24 10:34:00,"dark","control",85.83,0.6,8,0.427049174,0.752066667,-0.0125119597069597,"0",-0.00150148010176844,-0.0110104796051912,52.7050703321337,NA
"89",89,"PV6_D_37_O2",143.416718991936,-0.0213036693548387,36.7548775510204,"PV6_D","P. verrucosa","6",9,"D1",37,2021-03-24 10:14:00,2021-03-24 10:34:00,"dark","enriched",88.69,0.62,2,0.559733783,0.456166667,-0.013208275,"0",-0.00150148010176844,-0.0117067948982316,92.3882972659937,NA
"90",90,"PV8_D_37_O2",110.979649630542,-0.0201061165845649,36.6736326530612,"PV8_D","P. verrucosa","8",6,"D1",37,2021-03-24 10:14:00,2021-03-24 10:34:00,"dark","enriched",89.16,0.61,2,0.344302262,0.417243333,-0.0122647311165846,"0",-0.00150148010176844,-0.0107632510148161,92.8659623504113,NA
"93",93,"PV11_D_38_O2",127.17621471257,-0.0169971235521235,38.0915918367347,"PV11_D","P. verrucosa","11",10,"D1",38,2021-03-24 10:50:00,2021-03-24 11:10:00,"dark","enriched",85.88,0.61,3,1.48062872,1.495356667,-0.0103682453667953,"0",-0.00178515328924344,-0.00858309207755189,20.6633856397464,NA
"94",94,"PV21_D_38_O2",106.842900866935,-0.0194819153225806,38.0779795918367,"PV21_D","P. verrucosa","21",3,"D1",38,2021-03-24 10:50:00,2021-03-24 11:10:00,"dark","control",104.12,0.62,6,1.661026261,1.756996667,-0.0120787875,"0",-0.00178515328924344,-0.0102936342107565,21.0911516536892,NA
"95",95,"PV29_D_38_O2",131.798208201058,-0.0173246031746031,38.0641836734694,"PV29_D","P. verrucosa","29",4,"D1",38,2021-03-24 10:50:00,2021-03-24 11:10:00,"dark","control",105.04,0.6,8,0.286292138,0.374936667,-0.0103947619047619,"0",-0.00178515328924344,-0.00860960861551842,82.6662040388445,NA
"96",96,"PV3_D_38_O2",132.936700852273,-0.0223265854105572,38.1017551020408,"PV3_D","P. verrucosa","3",2,"D1",38,2021-03-24 10:50:00,2021-03-24 11:10:00,"dark","enriched",50.86,0.59,1,1.363743438,1.385563333,-0.0131726853922287,"0",-0.00178515328924344,-0.0113875321029853,29.5873271140808,NA
"97",97,"PV30_D_38_O2",134.37211250573,-0.017659640947288,38.2048163265306,"PV30_D","P. verrucosa","30",1,"D1",38,2021-03-24 10:50:00,2021-03-24 11:10:00,"dark","control",77.26,0.62,8,0.893279254,0.37493667,-0.0109489773873186,"0",-0.00178515328924344,-0.00916382409807512,87.987570682458,NA
"98",98,"PV32_D_38_O2",134.613608074866,-0.0180999006875477,37.9142448979592,"PV32_D","P. verrucosa","32",5,"D1",38,2021-03-24 10:50:00,2021-03-24 11:10:00,"dark","control",85.83,0.6,8,0.427049174,0.752066667,-0.0108599404125286,"0",-0.00178515328924344,-0.00907478712328518,43.4392788263632,NA
"99",99,"PV6_D_38_O2",135.224345607553,-0.0182807471264367,37.9127142857143,"PV6_D","P. verrucosa","6",9,"D1",38,2021-03-24 10:50:00,2021-03-24 11:10:00,"dark","enriched",88.69,0.62,2,0.559733783,0.456166667,-0.0113340632183908,"0",-0.00178515328924344,-0.00954890992914731,75.3585876210686,NA
"100",100,"PV8_D_38_O2",114.475944312611,-0.0178255514705883,38.2564081632653,"PV8_D","P. verrucosa","8",6,"D1",38,2021-03-24 10:50:00,2021-03-24 11:10:00,"dark","enriched",89.16,0.61,2,0.344302262,0.417243333,-0.0108735863970589,"0",-0.00178515328924344,-0.00908843310781542,78.4155350137985,NA
"103",103,"PV11_D_39_O2",114.994030846154,-0.0167662307692308,39.0563673469388,"PV11_D","P. verrucosa","11",10,"D1",39,2021-03-24 11:30:00,2021-03-24 11:50:00,"dark","enriched",85.88,0.61,3,1.48062872,1.495356667,-0.0102274007692308,"0",-0.00188759182401491,-0.00833980894521588,20.077693078408,NA
"104",104,"PV21_D_39_O2",95.9505608577469,-0.0184068257324071,38.9345306122449,"PV21_D","P. verrucosa","21",3,"D1",39,2021-03-24 11:30:00,2021-03-24 11:50:00,"dark","control",104.12,0.62,6,1.661026261,1.756996667,-0.0114122319540924,"0",-0.00188759182401491,-0.00952464013007749,19.5155204971592,NA
